;;;;;;;;;;;;;;;;;GAZE;;;;;;;;;;;;FIXATION;;;;;;;;;;;;;;;SACCADE;;;;;;;;;;;;;
;;#Unit;;;;;;Milliseconds;;Milliseconds;Percentage;Percentage;Square pixels;Square centimeters;Percentage;;Percentage;;;Index;Milliseconds;Milliseconds;Milliseconds;Percentage;Milliseconds;Milliseconds;;;Percentage;;;;Index;Milliseconds;Milliseconds;Milliseconds;Milliseconds;Percentage;Milliseconds;Milliseconds;Milliseconds;Degrees;;Percentage;;;Milliseconds;Milliseconds;Milliseconds;Degrees;Degrees per second;Degrees per second squared;Degrees per second squared;Degrees;;Percentage;
;;#Short unit;;;;;;ms;;ms;%;%;px^2;cm^2;%;;%;;;;ms;ms;ms;%;ms;ms;;;%;;;;;ms;ms;ms;ms;%;ms;ms;ms;deg;;%;;;ms;ms;ms;deg;deg/s;deg/s^2;deg/s^2;deg;;%;
;;#Description;Number of respondents that were presented with the stimulus or relevant interval.;Average age of the respondents.;Type of the interval that the metrics refers to.;Group of the interval.;Name of the interval.;Average duration of the interval.;Name of the parent.;Average duration of the parent.;Average percentage of the parent's duration during which the AOI was active.;Average percentage of collected and interpolated samples during the interval. Values below 100% indicate missing data.;Size of the AOI in square pixels.;Size of the AOI in square centimeters.;Percentage of the stimulus' area covered by the AOI.;Number of respondents that gazed at the AOI.;Percentage of respondents that gazed at the AOI.;Average of how often the gaze of the respondents entered the AOI (i.e. how often they visited the AOI on average).;Average of how often the respondents looked back at the AOI after the first dwell.;Index of the order in which the AOIs were on average gazed at for the first time for the current parent.;Average time that passed until a gaze entered the AOI for the first time (relative to AOI onset).;Average time that passed until a gaze entered the AOI for the first time (relative to parent interval onset).;Average of how long the respondents gazed at the AOI.;Average of how long the respondents gazed at the AOI in relation to the time during which the AOI was active.;Average duration of the respondents' very first dwell on the AOI.;Average duration of the respondents' very last dwell on the AOI.;Average of how often the respondent gazed at the AOI without any detected fixation.;Number of respondents that fixated on the AOI.;Percentage of respondents that fixated on the AOI.;Average of how often the respondents looked at the AOI and fixated on it at least once.;Average of how often the respondents looked back and fixated at the AOI after the first dwell.;Average amount of fixations detected inside the AOI.;Index of the order in which the AOIs were on average fixated at for the first time for the current parent.;Average time that passed until the first fixation was detected inside the AOI (relative to AOI onset).;Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset).;Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset). In case respondents did not fixate on the AOI. their parent's presentation duration (as maximally possible time) is used for the average.;Average of how long the respondents fixated at the AOI.;Average of how long the respondents fixated at the AOI in relation to the time during which the AOI was active.;Average duration of all fixations detected inside the AOI.;Average duration of the respondents' very first fixation inside the AOI.;Average duration of the respondents' very last fixation inside the AOI.;Average of how wide the gaze points of the respondents' fixations were spread out.;Number of respondents that had a saccade within the AOI.;Percentage of respondents that had a saccade within the AOI.;Average of how often the respondents looked at the AOI with at least one whole saccade detected between entry and exit.;Average amount of saccades detected inside the AOI.;Average time that passed until the first saccade was directed towards the AOI (relative to AOI onset).;Average time that passed until the first saccade was directed towards the AOI (relative to parent interval onset).;Average duration of all saccades detected inside the AOI.;Average amplitude of all saccades detected inside the AOI (i.e. angular distance that the eyes travelled from start point to end point).;Average peak velocity of all saccades detected inside the AOI (i.e. the maximal speed of the eyes during this saccade).;Average peak acceleration of all saccades detected inside the AOI (i.e. the maximal increase in speed of the eyes during this saccade).;Average peak deceleration of all saccades detected inside the AOI (i.e. the maximal decrease in speed of the eyes during this saccade).;Average direction of all saccades detected inside the AOI. indicated as clockwise angles: 0 degrees mean a horizontal saccade from left to right. 90 degrees a vertical saccade from top to bottom.;Number of respondents that clicked inside the AOI.;Percentage of respondents that clicked inside the AOI.;Average amount of mouse clicks detected inside the AOI.
;;#DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Picture NO.;;Respondent Base;Respondent Age;Type;Group;Label;Duration (ms);Parent Label;Parent Duration;Duration (%);Valid data;Size (px2);Size (cm2);Size (%);Respondent count (gaze dwells);Respondent ratio (gaze dwells);Dwell count;Revisit count (gaze dwells);Hit sequence;Hit time (AOI);Hit time (Parent);Dwell time (gaze. ms);Dwell time (gaze. %);First dwell duration;Last dwell duration;Skip count;Respondent count (fixation dwells);Respondent ratio (fixation dwells);Dwells with fixations;Revisit count (fixation dwells);Fixation count;TTFF sequence;TTFF (AOI);TTFF (Parent);TTFF (max.);Dwell time (fixation. ms);Dwell time (fixation. %);Duration of average fixation;First fixation duration;Last fixation duration;Dispersion of average fixation;Respondent count (saccades);Respondent ratio (saccades);Dwells with saccades;Saccade count;Entry saccade onset (AOI);Entry saccade onset (Parent);Duration of average saccade;Amplitude of average saccade;Peak velocity of average saccade;Peak acceleration of average saccade;Peak deceleration of average saccade;Direction of average saccade;Respondent count (mouse clicks);Respondent ratio (mouse clicks);Mouse click count
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M1;Picture1;;50;22.42;Static AOI;NA;AOI 1;5171.11;picture1;5171.11;100;99.43;17948.03;05.1966;0.87;46;92;02.1974;01.1974;1;634.24;634.24;1232;29.15;410.31;742.1;0.283;46;92;02.2024;1.239;05.1957;1;941.38;941.38;1273.51;963.3;23.12;174.52;133.6;239.89;0.34;46;92;02.2048;12.2043;606.29;606.29;23.56;0.88;71.99;6635.89;-4734.19;157.32;42;84;0.84
;Picture2;;50;22.42;Static AOI;NA;AOI 1;1832.74;picture2;1832.74;100;99.08;98288.4;30.99;04.1974;49;98;01.2016;0.16;1;658.12;658.12;1057.03;58.97;971.07;1018.36;0.041;49;98;01.2008;0.082;03.9;1;776.03;776.03;787.19;759.48;42.15;194.69;144.62;225.7;0.34;49;98;01.1;08.2035;593.52;593.52;25.57;0.95;85.19;8555.67;-6946.72;178.63;50;100;1
;Picture3;;50;22.42;Static AOI;NA;AOI 1;2880.04;picture3;2880.04;100;99.23;24172.88;07.1962;01.2017;47;94;01.1968;0.68;1;1271.42;1271.42;726.85;29.72;550.89;589.01;0.149;46;92;01.2048;0.478;03.2007;1;1354.56;1354.56;1484.08;640.77;26.64;244.46;246.2;263.28;0.36;45;90;01.2047;05.1962;1192.53;1192.53;24.34;0.93;73.31;7002.86;-5102.85;180.79;46;92;0.92
;Picture4;;50;22.42;Static AOI;NA;AOI 1;10784.55;picture4;10784.55;100;97.59;50064.32;15.79;02.2041;48;96;02.1994;01.1994;1;917.43;917.43;1114.92;11.2034;339.4;522.45;0.604;41;82;02.1951;1.512;05.2024;1;1650.88;1650.88;2714.43;749.33;06.1968;133.11;113.88;160.04;0.39;47;94;02.1974;14.11;898.25;898.25;36.63;01.2011;111.67;11695.32;-9336.61;166.88;22;44;0.44
;Picture5;;50;22.42;Static AOI;NA;AOI 1;2721.53;picture5;2721.53;100;99.56;27469.33;08.1966;01.2032;47;94;2;1;1;589.99;589.99;1171.27;53.84;710.9;866.24;0.085;47;94;01.1964;0.638;05.2021;1;719.37;719.37;895.77;1003.75;45.81;200.52;196.49;164.49;0.36;46;92;01.1985;09.1985;591.32;591.32;23.74;0.97;79.59;7376.56;-5529.51;190.26;49;98;0.98
;Picture6;;50;22.42;Static AOI;NA;AOI 1;2455.94;picture6;2455.94;100;99.31;6126.41;01.1993;0.3;47;94;01.1996;0.96;1;621.06;621.06;643.28;27.7;548.98;532.29;0.106;46;92;01.1959;0.587;03.1985;1;637.83;637.83;794.01;834.23;36.6;237.08;259.9;194.62;0.34;45;90;01.6;06.2011;525.69;525.69;23.91;0.79;72.18;6570.96;-4807.98;184.9;46;92;0.92
;Picture7;;50;22.42;Static AOI;NA;AOI 1;2961.69;picture7;2961.69;100;98.64;109589.22;34.55;05.2028;49;98;01.8;0.8;1;776.4;776.4;1609.48;61.33;1118.13;1197.35;0.224;48;96;01.2042;0.417;06.1985;1;864.4;864.4;1001.77;950.27;36.03;133.87;115.6;137.49;0.34;49;98;01.1959;17.57;683.01;683.01;29.61;01.2024;100.36;9298.89;-7519.09;177.84;42;84;0.84
;Picture8;;50;22.42;Static AOI;NA;AOI 1;2220.21;picture8;2220.21;100;97.89;3951.63;01.2025;0.19;32;64;02.2022;01.2022;1;760.18;760.18;299.28;13.36;318.01;325.41;0.156;32;64;01.1966;0.656;03.2025;1;833.25;833.25;1290.67;741.51;32.67;238.85;192.36;284.37;0.36;30;60;01.1977;04.7;678.29;678.29;26.25;0.82;72.25;6711.38;-4675.9;172.89;46;92;0.92
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M2;Picture1;;50;22.46;Static AOI;NA;AOI 1;2818.32;picture2;2818.32;100;99.58;12605.6;03.1997;0.608;48;96;01.1956;0.56;1;1253.42;1253.42;411.08;17.17;597.59;625.88;0.146;46;92;01.2022;0.22;03.2013;1;1441.55;1441.55;1786.54;611.42;26.17;245.36;237.14;267.67;0.36;44;88;01.2027;07.2009;1231.46;1231.46;32.55;0.93;78.4;7425.51;-5363.7;202.9;49;98;0.98
;Picture2;;50;22.46;Static AOI;NA;AOI 1;2290.2;picture3;2290.2;100;99;14369.26;04.1953;0.693;47;94;01.2038;0.38;1;920.58;920.58;624.54;30.94;712.15;677.54;0.106;46;92;01.2013;0.13;02.1996;1;1143.95;1143.95;1251.25;670.17;33.52;264.12;250.28;281.28;0.34;44;88;01.2;05.2041;759.99;759.99;22.27;0.88;72.22;6847.13;-4825.15;199.13;50;100;1
;Picture3;;50;22.46;Static AOI;NA;AOI 1;6038.39;picture4;6038.39;100;98.82;8013.04;02.1953;0.386;25;50;01.1992;0.92;1;2207.69;2207.69;219.97;04.2021;211.05;236.13;0.52;22;44;01.2036;0.36;01.1995;1;1935.9;1935.9;3700.02;296.98;06.1;157.61;156.56;168.89;0.37;20;40;01.7;03.1985;2621.79;2621.79;28.86;0.81;78.79;6504.75;-4307.22;200.02;12;24;0.24
;Picture4;;50;22.46;Static AOI;NA;AOI 1;2037.47;picture5;2037.47;100;98.86;1433.84;0.45;0.069;26;52;01.2023;0.23;1;1047.6;1047.6;124.38;07.1954;273.02;293.4;0.077;24;48;01.2012;0.12;01.1967;1;1073.93;1073.93;1630.22;406.31;24.83;270.18;257.15;276.56;0.41;18;36;01.2006;02.1972;1391.83;1391.83;27.59;0.84;78.08;7618.82;-4527.65;233.72;42;84;0.84
;Picture5;;50;22.46;Static AOI;NA;AOI 1;6760.94;picture6;6760.94;100;98.46;3509.13;01.2011;0.169;32;64;02.2041;01.2041;1;2753.14;2753.14;476.53;07.1979;438.72;354.58;0.062;30;60;01.1993;0.93;03.1983;1;2707.51;2707.51;3671.17;1045.03;18.28;350.3;432.1;300.53;0.36;24;48;2;06.2004;2795.26;2795.26;19.66;0.8;68.79;6320.87;-3485.74;179.07;41;82;0.82
;Picture6;;50;22.46;Static AOI;NA;AOI 1;2608.97;picture7;2608.97;100;98.77;44455.88;14.02;2.144;47;94;02.2017;01.2017;1;383.17;383.17;1002.56;40.73;601.63;689.21;0.149;47;94;01.1979;0.79;5;1;522.2;522.2;606.02;799.35;32.51;163.77;158.42;169.96;0.34;47;94;01.1998;11.3;470.67;470.67;26.81;01.2012;90.36;8678.35;-6102.22;180.67;38;76;0.76
;Picture7;;50;22.46;Static AOI;NA;AOI 1;3286.42;picture8;3286.42;100;97.58;3457.68;01.2009;0.167;42;84;02.4;01.4;1;936.52;936.52;294.49;10.1963;277.36;326.73;0.286;41;82;01.1983;0.83;03.1954;1;1072.61;1072.61;1263.71;653.93;23.5;186.48;212.63;166.53;0.37;39;78;01.9;05.1997;703.45;703.45;23.86;0.8;71.47;6884.09;-4404.22;178.35;40;80;0.8
;Picture8;;50;22.46;Static AOI;NA;AOI 1;1473.49;picture1;1473.49;100;99.43;4822.9;01.1952;0.233;41;82;01.2046;0.46;1;527.95;527.95;347.05;25.2;406.64;457.67;0.122;39;78;01.2018;0.18;01.1997;1;587.81;587.81;760.71;472.91;32.82;273.13;270.07;271.51;0.37;38;76;01.2021;03.1982;504.25;504.25;24.84;0.79;70.97;6473.54;-5526.28;171.68;50;100;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M3;Picture1;;50;22.46;Static AOI;NA;AOI 1;2447.09;picture1;2447.09;100;98.82;1299.69;0.41;0.063;36;72;02.2003;01.2003;1;911.73;911.73;195.53;09.1988;267.33;310.85;0.111;36;72;01.2042;0.42;02.2036;1;932.55;932.55;1367.56;589.18;31;279.56;230.6;323.03;0.37;29;58;01.2045;03.2021;1009.05;1009.05;25.11;0.79;71.35;6232.53;-4469.05;154.29;48;96;0.96
;Picture2;;50;22.46;Static AOI;NA;AOI 1;1805.64;picture2;1805.64;100;99.7;50193.71;15.83;02.421;50;100;01.2028;0.28;1;429.6;429.6;887.7;54.72;783.43;871.15;0.12;48;96;01.2019;0.19;03.4;1;584.26;584.26;623.86;609.79;36.17;200.61;172.32;224.69;0.37;50;100;01.2;08.2002;406.19;406.19;30.62;01.2005;81.86;7482.9;-5582.9;174.99;50;100;1
;Picture3;;50;22.46;Static AOI;NA;AOI 1;2882.93;picture3;2882.93;100;99.41;20841.74;06.1957;01.5;49;98;01.2037;0.37;1;1418.32;1418.32;750.25;29.27;781.93;774.17;0.143;48;96;01.2017;0.17;03.2021;1;1527.43;1527.43;1598.94;699.97;26.7;238.36;191.19;295.68;0.36;49;98;01.2029;06.2024;1328.16;1328.16;25.92;0.87;71.25;6593.2;-4708.4;166.79;50;100;1
;Picture4;;50;22.46;Static AOI;NA;AOI 1;7156.21;picture4;7156.21;100;97.74;2417.61;0.76;0.117;5;10;2;1;1;3909.45;3909.45;184.85;01.2038;177.01;168.4;0.2;5;10;01.8;0.8;2;1;3895.25;3895.25;5886.05;259.24;02.2044;130.53;145.08;123.92;0.38;5;10;01.6;02.6;3942.8;3942.8;22.59;0.88;80.46;7896.57;-3664.97;178.39;0;0;0
;Picture5;;50;22.46;Static AOI;NA;AOI 1;3608.88;picture5;3608.88;100;98.22;1890.46;0.6;0.091;31;62;01.9;0.9;1;1680.96;1680.96;235.03;08.2029;291.7;356.54;0.129;31;62;01.2048;0.48;02.1952;1;1768.21;1768.21;2503.18;631.57;22.24;287.69;269.03;314.02;0.35;23;46;01.1952;04.2022;1818.49;1818.49;20.83;0.74;64.06;5708.88;-3990.81;173.43;49;98;0.98
;Picture6;;50;22.46;Static AOI;NA;AOI 1;3952.59;picture6;3952.59;100;98.8;2060.12;0.65;0.099;39;78;2;1;1;2191.19;2191.19;286.82;09.2043;360.46;367.48;0.077;39;78;01.2036;0.36;02.2049;1;2120.08;2120.08;2848.81;831.24;26.72;450.98;476.04;443.82;0.38;27;54;01.2033;03.2044;2387.67;2387.67;25.51;0.8;62.24;4851.89;-4108;207.97;48;96;0.96
;Picture7;;50;22.46;Static AOI;NA;AOI 1;3796.85;picture7;3796.85;100;99.09;23857.29;07.1952;01.151;42;84;03.1974;02.1974;1;707.9;707.9;596.43;16.65;396.76;470.3;0.262;40;80;02.2048;01.2048;07.2;1;591.92;591.92;1253.17;1353.47;36.91;187.12;171.8;256.97;0.34;40;80;03.2008;10.7;838.65;838.65;27.02;01.2046;104.45;10243.36;-8385.5;168.34;50;100;1
;Picture8;;50;22.46;Static AOI;NA;AOI 1;5119.64;picture8;5119.64;100;99.13;4453.49;01.4;0.215;33;66;02.2003;01.2003;1;3264.24;3264.24;344.08;06.1954;346.1;368.08;0.182;32;64;01.1975;0.75;02.1997;1;3236.07;3236.07;3651.26;546.02;10.2042;209.92;186.01;246.33;0.34;27;54;01.1978;05.2026;2399.01;2399.01;19.79;0.96;78.98;7993.24;-4885.64;213.37;29;58;0.58
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
